sensor_image,pose_x,pose_y,pose_z,pose_Rx,pose_Ry,pose_Rz,shear_x,shear_y,shear_z,shear_Rx,shear_Ry,shear_Rz
image_1.png,0,0,0.500024809,-19.61692555,4.008753613,0,-1.997047074,1.58103863,0,0,0,-4.913135261
image_2.png,0,0,0.500256744,-20.830611,0.297442599,0,-0.260796658,-2.302150648,0,0,0,-1.804928965
image_3.png,0,0,0.502332158,-9.59148813,23.01096925,0,1.328061518,-0.715031501,0,0,0,3.663350607
image_4.png,0,0,0.50245979,-11.29116932,4.838676709,0,-4.682232051,-0.991884004,0,0,0,-0.693082897
image_5.png,0,0,0.504587336,-14.69839012,-7.085433388,0,0.673356661,2.251210108,0,0,0,3.93757411
image_6.png,0,0,0.506027768,15.71308626,10.5314538,0,1.278774363,2.821931137,0,0,0,4.612753044
image_7.png,0,0,0.510434901,10.75465309,3.637736106,0,1.741755564,-3.402216818,0,0,0,-2.554581867
image_8.png,0,0,0.511667141,-13.26468399,-6.123809454,0,-4.427402192,1.628524369,0,0,0,-2.107119648
image_9.png,0,0,0.513249913,-4.676165103,-10.87169512,0,-1.278213876,-2.324390133,0,0,0,1.265091592
image_10.png,0,0,0.513580004,-16.61346348,18.29435439,0,0.941349228,-2.512084654,0,0,0,4.53022036
image_11.png,0,0,0.514236324,22.12004443,-3.348624783,0,2.310903613,-4.067693679,0,0,0,-4.226167301
image_12.png,0,0,0.514898,-0.498485934,-16.21955003,0,2.839548434,1.091333028,0,0,0,-0.641201662
image_13.png,0,0,0.515589743,-1.749441754,-2.503478017,0,1.075659639,1.953223675,0,0,0,0.734506901
image_14.png,0,0,0.516434335,-13.8538253,10.90104576,0,1.440998877,-3.652927033,0,0,0,-4.352812138
image_15.png,0,0,0.516452078,4.771591129,-3.975017549,0,-3.558688999,0.331028946,0,0,0,2.713323841
image_16.png,0,0,0.516634522,-1.775489227,12.3798182,0,-0.089429914,-2.538209256,0,0,0,-0.147553674
image_17.png,0,0,0.516933593,11.81753066,-0.577539193,0,4.128010761,-1.007593947,0,0,0,3.044705026
image_18.png,0,0,0.517228913,2.22873107,3.595783825,0,-0.845456662,2.818691463,0,0,0,1.616140339
image_19.png,0,0,0.517515347,2.75154201,-15.03781621,0,1.999230432,-1.941084108,0,0,0,-1.692735026
image_20.png,0,0,0.517808826,6.114874774,-17.84213891,0,-0.521384154,4.580457671,0,0,0,-0.145515404
image_21.png,0,0,0.518001122,15.16893101,-4.874147971,0,-0.557465404,2.731931016,0,0,0,2.414341525
image_22.png,0,0,0.522897324,2.073946578,13.3185709,0,-2.543049867,3.388395342,0,0,0,-4.043794545
image_23.png,0,0,0.525813249,0.45850247,-13.49116435,0,3.526791872,-2.61139679,0,0,0,2.178952001
image_24.png,0,0,0.525903492,6.790722067,-13.16138228,0,-2.091410943,-1.568155267,0,0,0,-1.971992256
image_25.png,0,0,0.526104601,11.82023896,4.913964999,0,3.850659073,-2.867289992,0,0,0,-4.930248031
image_26.png,0,0,0.526207596,-18.13974267,-12.6131721,0,0.210037869,3.412001631,0,0,0,-3.838808098
image_27.png,0,0,0.527249533,-4.167305231,-16.89915246,0,2.047548766,1.291693653,0,0,0,-4.374694182
